date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-10-28,15.9,8.3,22.8,0,0,3,9.7,,1017.3,
2021-10-29,15.1,6.1,25.6,0,0,38,6.8,,1017.3,
2021-10-30,16.6,5.6,28.3,0,0,352,8.3,,1012.2,
2021-10-31,19.1,9.4,26.7,0,0,181,7.2,,1012.3,
2021-11-01,17.8,9.4,26.7,0,0,197,8.3,,1015.7,
2021-11-02,17.8,7.8,26.7,0,0,273,9.7,,1016,
2021-11-03,16.3,6.1,22.8,0,0,75,9.7,,1016.6,
2021-11-04,12.1,6.1,20,0,0,45,3.2,,1019.5,
2021-11-05,14.4,5.6,26.1,0,0,335,4,,1016.9,
2021-11-06,16.4,6.1,27.2,0,0,27,4.3,,1017,
2021-11-07,17.1,6.1,27.8,0,0,358,4.3,,1015.6,
2021-11-08,17.4,7.8,26.1,0,0,29,5.4,,1016.3,
2021-11-09,18.4,8.3,27.2,0,0,240,6.8,,1016.3,
2021-11-10,18.7,10,24.4,0,0,315,13.7,,1011.7,
2021-11-11,15.8,10,23.3,0,0,18,14.4,,1016.9,
2021-11-12,13.3,2.8,23.3,0,0,30,9,,1020.5,
2021-11-13,13.1,3.9,23.9,0,0,22,6.1,,1020.4,
2021-11-14,14.4,3.3,25,0,0,350,5.8,,1019.6,
2021-11-15,14.3,3.3,25.6,0,0,259,7.6,,1018.8,
2021-11-16,17.1,7.8,26.1,0,0,235,14,,1012.2,
2021-11-17,17.3,10.6,24.4,0,0,207,13.3,,1013.1,
2021-11-18,11.6,5,14.4,0,0,77,13.3,,1025.6,
2021-11-19,8.8,1.1,18.9,0,0,24,5,,1022,
2021-11-20,12.6,2.8,24.4,0,0,315,9,,1016.3,
2021-11-21,15.3,8.3,19.4,0,0,47,15.8,,1020.5,
2021-11-22,11.5,6.7,18.9,0,0,4,9.4,,1024.2,
2021-11-23,11.9,6.1,20.6,0,0,69,9,,1014.9,
2021-11-24,16.7,12.8,21.1,0.5,0,274,16.6,,1012.3,
2021-11-25,11.6,4.4,13.9,0.5,0,23,18.4,,1025,
2021-11-26,6.8,1.1,12.2,1,0,22,7.6,,1023.4,
2021-11-27,8.9,5.6,15.6,6.6,0,232,7.2,,1017.8,
2021-11-28,10.3,3.9,17.2,0,0,28,5.4,,1023.8,
2021-11-29,9.9,1.1,20,0,0,27,4,,1020.9,
2021-11-30,11.8,5.6,21.7,0,0,8,5.8,,1017.7,
2021-12-01,11.4,5,17.8,0,0,15,5.8,,1020.3,
2021-12-02,12.1,5.6,22.8,0,0,355,7.2,,1019.2,
2021-12-03,13.8,5,22.8,0,0,228,7.2,,1015.9,
2021-12-04,12.6,3.9,20.6,0,0,23,5.4,,1016.7,
